@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp
ID,
Type,Date
Format,yyyy-MM-dd HH:mm
2018-05-22 18:00,-0.013216834988093201
2018-05-22 19:00,-0.013221328400288362
2018-05-22 20:00,-0.013227568997987882
2018-05-22 21:00,-0.013234992489576922
2018-05-22 22:00,-0.013243968115272634
2018-05-22 23:00,-0.013251330070741169
2018-05-23 00:00,-0.01325859212671504
2018-05-23 01:00,-0.0132658098676455
2018-05-23 02:00,-0.013272801311099633
2018-05-23 03:00,-0.013279488081804833
2018-05-23 04:00,-0.013285842515399798
2018-05-23 05:00,-0.013291863029716827
2018-05-23 06:00,-0.01331465174032806
2018-05-23 07:00,-0.01336160670322864
2018-05-23 08:00,-0.013437337609895753
2018-05-23 09:00,-0.013544919491383922
2018-05-23 10:00,-0.013662095014193382
2018-05-23 11:00,-0.013824359732333119
2018-05-23 12:00,-0.014024141936383863
2018-05-23 13:00,-0.014270610570809611
2018-05-23 14:00,-0.014505372878667877
2018-05-23 15:00,-0.01468616760092531
2018-05-23 16:00,-0.014845672173601679
2018-05-23 17:00,-0.014973455576034259
2018-05-23 18:00,-0.015099505174559616
2018-05-23 19:00,-0.015152926924228718
2018-05-23 20:00,-0.015199388770049643
2018-05-23 21:00,-0.015235760016625605
2018-05-23 22:00,-0.015263496417140227
2018-05-23 23:00,-0.015279287726633228
2018-05-24 00:00,-0.015290208187699342
2018-05-24 01:00,-0.0153004578416841
2018-05-24 02:00,-0.015311190574420222
2018-05-24 03:00,-0.015322003415359595
2018-05-24 04:00,-0.01533270894337918
2018-05-24 05:00,-0.01534321631653271
2018-05-24 06:00,-0.015370554977876191
2018-05-24 07:00,-0.015422331273614462
2018-05-24 08:00,-0.015546229920734886
2018-05-24 09:00,-0.01577066647369417
2018-05-24 10:00,-0.016052094287373767
2018-05-24 11:00,-0.01637902477917684
2018-05-24 12:00,-0.01672532283430961
2018-05-24 13:00,-0.017081935343833482
2018-05-24 14:00,-0.01746633465174932
2018-05-24 15:00,-0.017847191255932426
2018-05-24 16:00,-0.018194419062307204
2018-05-24 17:00,-0.018520258046957352
2018-05-24 18:00,-0.018811702685765666
2018-05-24 19:00,-0.019035735801786913
2018-05-24 20:00,-0.019182608317655142
2018-05-24 21:00,-0.019243556254360986
2018-05-24 22:00,-0.019295935217999008
2018-05-24 23:00,-0.019351363578126946
2018-05-25 00:00,-0.01940128007604608
2018-05-25 01:00,-0.01946237171562451
2018-05-25 02:00,-0.01951938783419943
2018-05-25 03:00,-0.019559988227285482
2018-05-25 04:00,-0.01960324848867613
2018-05-25 05:00,-0.01964904333799021
2018-05-25 06:00,-0.019705150868354324
2018-05-25 07:00,-0.01981453054589251
2018-05-25 08:00,-0.02004132758766601
2018-05-25 09:00,-0.02036697867060369
2018-05-25 10:00,-0.020768738945348808
2018-05-25 11:00,-0.021210798447245507
2018-05-25 12:00,-0.021713293049210186
2018-05-25 13:00,-0.02218981941804453
2018-05-25 14:00,-0.022642990574166855
2018-05-25 15:00,-0.023150974860454462
2018-05-25 16:00,-0.02364152451066194
2018-05-25 17:00,-0.024054302672152236
2018-05-25 18:00,-0.024295447193441677
2018-05-25 19:00,-0.024430958413364415
2018-05-25 20:00,-0.024504139893047713
2018-05-25 21:00,-0.024566914631605277
2018-05-25 22:00,-0.024620085146701345
2018-05-25 23:00,-0.024692673445947402
2018-05-26 00:00,-0.024759787535959518
2018-05-26 01:00,-0.024810585727165727
2018-05-26 02:00,-0.02485407131835672
2018-05-26 03:00,-0.024903399224689718
2018-05-26 04:00,-0.024956886248191618
2018-05-26 05:00,-0.025004427727152542
2018-05-26 06:00,-0.025075986377045778
2018-05-26 07:00,-0.025202671592262
2018-05-26 08:00,-0.025404484330430965
2018-05-26 09:00,-0.02572105115679285
2018-05-26 10:00,-0.025956539824842778
2018-05-26 11:00,-0.026201024958130106
2018-05-26 12:00,-0.0265272926908435
2018-05-26 13:00,-0.02670398427548057
2018-05-26 14:00,-0.026656427623191814
2018-05-26 15:00,-0.026336099793395018
2018-05-26 16:00,-0.025597459525899827
2018-05-26 17:00,-0.024519561038738993
2018-05-26 18:00,-0.023254596255794263
2018-05-26 19:00,-0.021895452683790423
2018-05-26 20:00,-0.020365082874415602
2018-05-26 21:00,-0.018878684047991284
2018-05-26 22:00,-0.01743007722988188
2018-05-26 23:00,-0.016073603528711247
2018-05-27 00:00,-0.014842076569929821
2018-05-27 01:00,-0.013699394902404488
2018-05-27 02:00,-0.012664723877071057
2018-05-27 03:00,-0.011684039968084758
2018-05-27 04:00,-0.010745377942906323
2018-05-27 05:00,-0.00985395917244529
2018-05-27 06:00,-0.009003605117277297
2018-05-27 07:00,-0.008215515900785383
2018-05-27 08:00,-0.0074813016011787276
2018-05-27 09:00,-0.006852574523768168
2018-05-27 10:00,-0.0063859049996635164
2018-05-27 11:00,-0.006019589192971103
2018-05-27 12:00,-0.005746692775302764
2018-05-27 13:00,-0.005452297259775335
2018-05-27 14:00,-0.005267678727151295
2018-05-27 15:00,-0.005180818461568218
